ID,Name,Author,Genre
36,The Great Divorce,C. S. Lewis,"{""Speculative fiction"", ""Fantasy"", ""Religion""}"
37,The Education of Robert Nifkin,Daniel Pinkwater,"{""Young adult literature""}"
38,Machine Man,Max Barry,"{""Thriller"", ""Science Fiction"", ""Novel""}"
39,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"{""Non-fiction""}"
40,Chinese Cinderella,Adeline Yen Mah,"{""Autobiographical novel"",""Autobiography"", ""Biography"",""Children's literature""}"
41,Feet of Clay,Terry Pratchett,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
42,Stargirl,Jerry Spinelli,"{""Children's literature"", ""Young adult literature"", ""Fiction""}"
43,Time Stops for No Mouse,Michael Hoeye,"{""Mystery"",""Speculative fiction"",""Children's literature"", ""Fiction""}"
44,The Praxis,Walter Jon Williams,"{""Science Fiction"",""Speculative fiction"", ""Fantasy""}"
45,The World of Normal Boys,K.M. Soehnlein,"{""Young adult literature"", ""Novel""}"
46,City of the Chasch,Jack Vance,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
47,The Oxford Murders,Guillermo Martínez,"{""Thriller"", ""Crime Fiction""}"
48,Lord John and the Hellfire Club,Diana Gabaldon,"{""Novella"", ""Historical novel""}"
49,Outlander,Diana Gabaldon,"{""Time travel"", ""Historical novel"", ""Science Fiction"", ""Romance novel"", ""Fiction""}"
50,The Recognitions,William Gaddis,"{""Fiction""}"
51,Shadow of a Bull,Maia Wojciechowska,"{""Children's literature"", ""Fiction""}"
52,Enemy of God,Bernard Cornwell,"{""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Historical novel""}"
53,The Village By The Sea,Anita Desai,"{""Children's literature"", ""Young adult literature"", ""Fiction"",""Non-fiction""}"
54,That Old Ace in the Hole,E. Annie Proulx,"{""Novel""}"
55,The Charwoman's Shadow,"Edward Plunkett, 18th Baron Dunsany","{""Speculative fiction"", ""Fantasy""}"
56,Valiant : A Modern Tale of Faerie,Holly Black,"{""Fantasy"",""Speculative fiction"", ""Young adult literature""}"
57,Absolution Gap,Alastair Reynolds,"{""Hard science fiction"", ""Science Fiction"",""Speculative fiction""}"
58,The Evolutionary Void,Peter F. Hamilton,"{""Science Fiction""}"
59,The Two Deaths of Quincas Wateryell,Jorge Amado,"{""Crime Fiction"",""Speculative fiction"", ""Novel""}"
60,Tripoint,C. J. Cherryh,"{""Science Fiction"",""Speculative fiction""}"
61,Highways in Hiding,George O. Smith,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
62,Leaving Fishers,Margaret Haddix,"{""Speculative fiction"",""Children's literature"", ""Fiction""}"
63,Back to the Stone Age,Edgar Rice Burroughs,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Adventure novel""}"
64,Magic Kingdom for Sale -- Sold!,Terry Brooks,"{""Speculative fiction"", ""Fantasy""}"
65,Odalisque,Fiona McIntosh,"{""Speculative fiction"", ""Fantasy""}"
66,The Dirdir,Jack Vance,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
67,Tic-Tac-Terror,Franklin W. Dixon,"{""Mystery"", ""Detective fiction"",""Children's literature"", ""Fiction""}"
68,Between Two Worlds,"Upton Sinclair, Jr.","{""History"",""Speculative fiction"", ""Fiction""}"
69,Fevre Dream,George R. R. Martin,"{""Fantasy"", ""Science Fiction"",""Speculative fiction"", ""Horror"", ""Fiction""}"
70,Grasshopper,Ruth Rendell,"{""Crime Fiction"",""Mystery""}"
71,The Mad Man,Samuel R. Delany,"{""Fiction"", ""Novel""}"
72,Linda Condon,Joseph Hergesheimer,"{""Fiction""}"
73,Ten Things I Hate About Me,Randa Abdel-Fattah,"{""Children's literature""}"
74,I'm Not Who You Think I Am,Peg Kehret,"{""Young adult literature""}"
75,Kafka on the Shore,Haruki Murakami,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
76,Mitch and Amy,Beverly Cleary,"{""Children's literature"", ""Young adult literature"", ""Fiction"", ""Novel""}"
77,The Reversal,Michael Connelly,"{""Crime Fiction"",""Mystery""}"
78,Blood Ties,Sophie McKenzie,"{""Fiction""}"
79,Antispin,Richard Bronson,"{""Thriller""}"
80,Coming Up for Air,George Orwell,"{""Fiction""}"
81,A Crown of Swords,Robert Jordan,"{""Speculative fiction"", ""Fantasy""}"
82,The Golden Road,Lucy Maud Montgomery,"{""Children's literature""}"
83,The Defenders of the Dead,Judy Blundell,"{""Science Fiction"",""Speculative fiction"",""Children's literature""}"
84,The Professor's House,Willa Cather,"{""Novel""}"
85,The Raven's Knot,Robin Jarvis,"{""Speculative fiction"", ""Fantasy""}"
86,In the Presence of Mine Enemies,Harry Turtledove,"{""Alternate history"", ""Science Fiction"",""Speculative fiction"", ""Dystopia""}"
87,The High Crusade,Poul Anderson,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
88,Dragonsdale,Steve Barlow,"{""Children's literature"", ""Fantasy""}"
89,No Night is Too Long,Ruth Rendell,"{""Crime Fiction"",""Mystery""}"
90,Rhapsody: Child of Blood,Elizabeth Haydon,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
91,The Twelve and the Genii,Pauline Clarke,"{""Children's literature"", ""Fantasy""}"
92,Before the Fact,Anthony Berkeley Cox,"{""Crime Fiction""}"
93,Sir Nobonk and the Terrible Dreadful Awful Naughty Nasty Dragon,Spike Milligan,"{""Children's literature"", ""Comedy""}"
94,Brideshead Revisited,Evelyn Waugh,"{""Fiction""}"
95,Fathers and Sons,Ivan Turgenev,"{""Politics"", ""Fiction"", ""Philosophy""}"
96,A Problem from Hell: America and the Age of Genocide,Samantha Power,"{""Non-fiction""}"
97,Ranks of Bronze,David Drake,"{""Science Fiction""}"
98,The Diamond as Big as the Ritz,F. Scott Fitzgerald,"{""Science Fiction"", ""Fiction"", ""Novella""}"
99,Learning the World,Ken MacLeod,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Novel""}"
100,Whale Talk,Chris Crutcher,"{""Children's literature"", ""Young adult literature""}"
101,Corona,Greg Bear,"{""Science Fiction"",""Speculative fiction""}"
102,Alvin Journeyman,Orson Scott Card,"{""Alternate history"", ""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
103,Sharpe's Devil,Bernard Cornwell,"{""Historical novel""}"
104,Paladin of Souls,Lois McMaster Bujold,"{""Speculative fiction"", ""Fantasy""}"
105,Elantris,Brandon Sanderson,"{""Speculative fiction"", ""Fantasy""}"
106,A Cool Million,Nathanael West,"{""Parody"", ""Comedy"", ""Farce"", ""Fiction""}"
107,The Radiant Seas,Catherine Asaro,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
108,Wizard of the Pigeons,Robin Hobb,"{""Speculative fiction"", ""Fantasy""}"
109,Germs: Biological Weapons and America's Secret War,William Broad,"{""Non-fiction""}"
110,The Prince and Betty,P. G. Wodehouse,"{""Comic novel"", ""Comedy"", ""Fiction""}"
111,Karmabhoomi,Munshi Premchand,"{""Novel""}"
112,The Alien,K. A. Applegate,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
113,A Mysterious Affair of Style,Gilbert Adair,"{""Mystery""}"
114,Run for Your Life,Lionel Davidson,"{""Children's literature""}"
115,In Search of a Distant Voice,Taichi Yamada,"{""Fiction""}"
116,First King of Shannara,Terry Brooks,"{""Speculative fiction"", ""Fantasy"",""Fantasy""}"
117,Singularity,William Sleator,"{""Science Fiction"",""Speculative fiction"",""Children's literature"", ""Fiction""}"
118,The Rats,James Herbert,"{""Mystery"",""Speculative fiction"", ""Horror"", ""Fiction"", ""Suspense""}"
119,A World of Difference,Harry Turtledove,"{""Alternate history"", ""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
120,The Goblin Tower,L. Sprague de Camp,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
121,The Man with the Golden Gun,Ian Fleming,"{""Spy fiction""}"
122,The Short-Timers,Gustav Hasford,"{""Autobiographical novel"",""Speculative fiction"", ""Fiction"", ""War novel""}"
123,Timescape,Gregory Benford,"{""Science Fiction"", ""Novel"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Time travel""}"
124,When Jonathan Died,Tony Duvert,"{""Novel""}"
125,Love-Letters Between a Nobleman and His Sister,Aphra Behn,"{""Roman"", ""Epistolary novel"", ""Poetry"", ""Romance novel"", ""Fiction""}"
126,The Great Time Machine Hoax,Keith Laumer,"{""Science Fiction"",""Speculative fiction""}"
127,Freaky Friday,Mary Rodgers,"{""Children's literature"", ""Young adult literature"",""Speculative fiction"", ""Fiction"", ""Comedy""}"
128,The Resurrection Casket,Justin Richards,"{""Science Fiction"",""Speculative fiction""}"
129,The Rhinemann Exchange,Robert Ludlum,"{""Spy fiction""}"
130,The Torture Garden,Octave Mirbeau,"{""Speculative fiction"", ""Fiction""}"
131,Close to the Ground,Jeff Mariotte,"{""Speculative fiction"", ""Horror"",""Children's literature""}"
132,Adventures of Mr. Nicholas Wisdom,Ignacy Krasicki,"{""Novel""}"
133,The Summer That Never Was,Peter Robinson,"{""Crime Fiction"",""Mystery""}"
134,Sylvie and Bruno,Lewis Carroll,"{""Children's literature"", ""Fantasy""}"
135,Les Liaisons dangereuses,Pierre Choderlos de Laclos,"{""Epistolary novel""}"
136,The Spire,William Golding,"{""Speculative fiction"",""Children's literature"", ""Fiction"", ""Novel""}"
137,The Twelve Chairs,Ilya Ilf,"{""Satire""}"
138,"The Clockwork Testament, or Enderby's End",Anthony Burgess,"{""Speculative fiction""}"
139,Winston's War,Michael Dobbs,"{""Historical novel""}"
140,The Sherwood Ring,Elizabeth Marie Pope,"{""Fantasy"",""Children's literature"", ""Young adult literature""}"
141,Jennie,Douglas Preston,"{""Thriller"", ""Science Fiction"", ""Adventure novel""}"
142,South By South East,Anthony Horowitz,"{""Children's literature""}"
143,Vengeance of Orion,Ben Bova,"{""Science Fiction""}"
144,Danse Macabre,Stephen King,"{""Horror"",""Non-fiction""}"
145,It,Stephen King,"{""Speculative fiction"", ""Horror""}"
146,In a Free State,V.S. Naipaul,"{""Short story""}"
147,But'n'Ben A-Go-Go,Matthew Fitt,"{""Speculative fiction""}"
148,Leven Thumps and the Eyes of The Want,Obert Skye,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
149,The Dark Abode,Dr.Sarojini Sahoo,"{""Novel""}"
150,Eyes of the Storm,Jeff Smith,"{""Children's literature"", ""Fantasy"", ""Comedy"", ""Humour""}"
151,Snowglobe 7,Mike Tucker,"{""Speculative fiction""}"
152,Mortal Causes,Ian Rankin,"{""Crime Fiction"", ""Detective fiction"", ""Novel"",""Mystery"", ""Suspense"", ""Fiction""}"
153,Knowledge of Angels,Jill Paton Walsh,"{""Crime Fiction"",""Mystery"", ""Historical fiction"", ""Fiction""}"
154,Fablehaven: Keys to the Demon Prison,Brandon Mull,"{""Fantasy""}"
155,Crown of Shadows,Celia S. Friedman,"{""Speculative fiction"", ""Fantasy""}"
156,The Soft Machine,William S. Burroughs,"{""Speculative fiction"", ""Novel""}"
157,Leo Africanus,Amin Maalouf,"{""Historical novel""}"
158,Doctor Zhivago,Boris Pasternak,"{""Novel"", ""Fiction"", ""Romance novel"", ""Historical novel""}"
159,Friends in Low Places,Simon Raven,"{""Mystery""}"
160,Enrique's Journey,Sonia Nazario,"{""Non-fiction"", ""Novel""}"
161,Between Mom and Jo,Julie Anne Peters,"{""Young adult literature""}"
162,The Taggerung,Brian Jacques,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
163,Angela's Ashes,Frank McCourt,"{""Biography"",""Memoir""}"
164,Dead Souls,Nikolai Gogol,"{""Fiction""}"
165,The Falcon at the Portal,Barbara Mertz,"{""Mystery"", ""Historical novel""}"
166,The Clue in the Old Stagecoach,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature""}"
167,Dark Secret,Christine Feehan,"{""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Romance novel""}"
168,Cyborg,Martin Caidin,"{""Techno-thriller"",""Speculative fiction"", ""Science Fiction""}"
169,True at First Light,Ernest Hemingway,"{""Fiction""}"
170,The Innocent,Ian McEwan,"{""Fiction""}"
171,The President Vanishes,Rex Stout,"{""Thriller"",""Mystery"",""Speculative fiction"", ""Fiction"", ""Suspense""}"
172,Paradise News,David Lodge,"{""Fiction"", ""Novel""}"
173,The Deed of Paksenarrion,Elizabeth Moon,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction"",""Fantasy""}"
174,Unnatural Exposure,Patricia Cornwell,"{""Crime Fiction"",""Mystery"", ""Novel"", ""Fiction"", ""Suspense""}"
175,Echoes of the great song,David Gemmell,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
176,Dead Girls,Richard Calder,"{""Science Fiction"",""Speculative fiction""}"
177,Monster Island,David Wellington,"{""Speculative fiction"", ""Horror""}"
178,Smile,Raina Telgemeier,"{""Autobiography"", ""Graphic novel""}"
179,The Magic School Bus at the Waterworks,Joanna Cole,"{""Children's literature"", ""Science""}"
180,Marjorie Morningstar,Herman Wouk,"{""Fiction""}"
181,Thirteen Moons,Charles Frazier,"{""Historical novel""}"
182,Saturnalia,Joel Spector,"{""Crime Fiction"",""Speculative fiction"", ""Historical fiction"",""Mystery"", ""Suspense"", ""Fiction""}"
183,The Stone Monkey,Jeffery Deaver,"{""Crime Fiction"", ""Fiction"", ""Suspense""}"
184,Bachelor of Arts,R. K. Narayan,"{""Fiction"", ""Novel""}"
185,I Am a Barbarian,Edgar Rice Burroughs,"{""Historical novel""}"
186,Toilers of the Sea,Victor Hugo,"{""Fiction"", ""Novel""}"
187,"Thrones, Dominations",Jill Paton Walsh,"{""Mystery"", ""Fiction"", ""Suspense""}"
188,Camber the Heretic,Katherine Kurtz,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
189,Figgs & Phantoms,Ellen Raskin,"{""Young adult literature""}"
190,Friend of the Devil,Peter Robinson,"{""Crime Fiction"",""Mystery""}"
191,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"{""Speculative fiction"", ""Novel""}"
192,A Right to Die,Rex Stout,"{""Mystery"", ""Detective fiction"", ""Fiction"", ""Suspense""}"
193,The Broker,John Grisham,"{""Thriller"",""Mystery"", ""Novel"", ""Fiction"", ""Suspense""}"
194,Le père de nos pères,Bernard Werber,"{""Science Fiction"",""Speculative fiction""}"
195,No Longer at Ease,Chinua Achebe,"{""Fiction"", ""Novel""}"
196,The Ballad of Beta-2,Samuel R. Delany,"{""Science Fiction"",""Speculative fiction""}"
197,The Last Theorem,Frederik Pohl,"{""Science Fiction"",""Speculative fiction""}"
198,A House Like a Lotus,Madeleine L'Engle,"{""Novel"",""Children's literature"", ""Young adult literature"",""Speculative fiction"", ""Fiction""}"
199,Surak's Soul,Jeanne Kalogridis,"{""Science Fiction""}"
200,The Steel Tsar,Michael Moorcock,"{""Alternate history"", ""Science Fiction"",""Speculative fiction"", ""Fiction""}"
201,The Viscount of Adrilankha,Steven Brust,"{""Fantasy""}"
202,Five Get into a Fix,Enid Blyton,"{""Mystery"", ""Adventure novel""}"
203,"Martians, Go Home",Fredric Brown,"{""Science Fiction"",""Speculative fiction""}"
204,Sliding Scales,Alan Dean Foster,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
205,Dreadful Sanctuary,Eric Frank Russell,"{""Science Fiction""}"
206,Who Goes There?,John W. Campbell,"{""Science Fiction"",""Speculative fiction""}"
207,Sandworms of Dune,Kevin J. Anderson,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
208,Love Creeps,Amanda Filipacchi,"{""Fiction"", ""Romance novel"", ""Novel""}"
209,That Hideous Strength,C. S. Lewis,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Dystopia""}"
210,"The Boats of the ""Glen Carrig""",William Hope Hodgson,"{""Fantasy"",""Speculative fiction"", ""Horror"", ""Fiction""}"
211,Maximum Ride: School's Out Forever,James Patterson,"{""Speculative fiction"", ""Young adult literature""}"
212,Nylon Angel,Marianne de Pierres,"{""Science Fiction"",""Speculative fiction""}"
213,Bloodhype,Alan Dean Foster,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
214,The Judas Pair,John Grant,"{""Crime Fiction"",""Mystery""}"
215,The Blithedale Romance,Nathaniel Hawthorne,"{""Roman"", ""Fiction"", ""Historical novel""}"
216,When Darkness Falls,Mercedes Lackey,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
217,Hangman's Curse,Frank E. Peretti,"{""Mystery"", ""Young adult literature""}"
218,The Scorpio Illusion,Robert Ludlum,"{""Spy fiction"", ""Reference"", ""Fiction""}"
219,The Gift of Asher Lev,Chaim Potok,"{""Novel""}"
220,The Transmigration of Timothy Archer,Philip K. Dick,"{""Speculative fiction"", ""Novel""}"
221,Terminal Freeze,Lincoln Child,"{""Thriller"", ""Science Fiction""}"
222,Dawn,Dean McLaughlin,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
223,Charon: A Dragon at the Gate,Jack L. Chalker,"{""Science Fiction"",""Speculative fiction""}"
224,From Here to Eternity,James Jones,"{""War novel"", ""Fiction""}"
225,Viaţa ca o pradă,Marin Preda,"{""Novel""}"
226,Castle in the Air,Diana Wynne Jones,"{""Fantasy"",""Children's literature"", ""Young adult literature"",""Speculative fiction"", ""Fiction""}"
227,Utilitarianism,John Stuart Mill,"{""Business"", ""Economics"", ""Philosophy"", ""Sociology""}"
228,The General of the Dead Army,Ismail Kadare,"{""History""}"
229,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,"{""Children's literature"", ""Fiction""}"
230,Red Dwarf: Infinity Welcomes Careful Drivers,Rob Grant,"{""Science Fiction"", ""Comic novel"",""Speculative fiction""}"
231,"Not a Penny More, Not a Penny Less",Jeffrey Archer,"{""Fiction""}"
232,The Color of Her Panties,Piers Anthony,"{""Speculative fiction"", ""Fantasy""}"
233,Wolf Moon,Charles de Lint,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
234,The Poisonwood Bible,Barbara Kingsolver,"{""Fiction"", ""Novel""}"
235,Last Orders,Brian Aldiss,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
236,The Magic of Krynn,Margaret Weis,"{""Speculative fiction"", ""Fantasy""}"
237,Halo: First Strike,Eric S. Nylund,"{""Science Fiction"",""Speculative fiction""}"
238,The One Percent Doctrine: Deep Inside America's Pursuit of Its Enemies Since 9/11,Ron Suskind,"{""Non-fiction""}"
239,The Black Unicorn,Terry Brooks,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
